ID,name,eur_value,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk
208418,Y. Carrasco,51500000,4,4,High,Medium,Right,80,79,53,79,68,81,78,74,86,87,89,91,83,71,84,68,73,59,75,61,18,82,74,74,75,19,39,26,
201153,Morata,51000000,3,4,High,High,Right,73,84,83,78,81,76,44,51,84,79,87,65,81,60,80,79,73,82,76,56,24,85,76,70,80,14,14,20,
179813,E. Cavani,48500000,3,3,High,High,Right,70,83,88,78,84,75,74,50,80,75,78,81,90,59,85,88,92,74,78,84,48,92,77,84,83,24,45,27,
171877,M. Hamšík,48500000,3,5,High,Medium,Right,78,78,74,88,79,80,72,82,87,72,75,76,88,66,82,71,85,69,83,56,72,88,86,70,84,60,73,62,
168651,I. Rakitić,48500000,3,3,Medium,Medium,Right,81,83,58,87,80,88,84,92,87,67,64,72,79,66,84,44,76,63,88,67,69,80,87,78,81,52,65,53,
193301,A. Lacazette,48500000,4,3,High,Medium,Right,64,87,72,79,82,74,71,59,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74,84,86,23,42,30,
183907,J. Boateng,48000000,2,4,Medium,Medium,Right,69,34,85,75,53,56,31,80,71,72,78,58,82,53,79,75,74,91,58,82,83,47,76,46,86,88,91,90,
178603,M. Hummels,48000000,2,3,High,Medium,Right,64,55,89,80,60,65,53,85,77,62,65,64,85,58,71,68,66,85,51,66,89,56,79,68,91,85,92,90,
189596,T. Müller,47500000,3,4,High,High,Right,77,87,82,81,83,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44,
193747,Koke,47500000,3,4,High,High,Right,84,71,61,86,56,85,76,85,86,74,70,77,84,79,84,61,84,75,81,71,66,82,89,59,75,66,69,51,
201535,R. Varane,46500000,2,3,Medium,High,Right,36,40,83,75,42,46,54,76,77,80,85,58,81,47,52,80,68,85,53,77,82,44,56,43,82,84,86,85,
179844,Diego Costa,46000000,3,4,High,Medium,Right,65,88,83,67,81,62,59,52,83,74,75,58,86,52,84,64,83,91,73,93,40,88,74,76,84,28,39,34,
186942,I. Gündoğan,46000000,4,4,High,Medium,Right,74,72,49,88,75,81,74,83,88,73,70,83,87,81,77,62,71,74,74,68,79,79,87,76,86,57,67,64,
220834,Marco Asensio,46000000,4,3,Medium,Medium,Left,79,82,50,86,75,83,76,81,86,83,82,78,78,76,84,57,73,61,87,45,45,72,83,62,82,29,42,39,
188350,M. Reus,45000000,4,4,Medium,Medium,Right,80,86,49,86,88,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46,
198219,L. Insigne,45000000,4,3,High,Medium,Right,83,73,56,83,74,83,77,73,90,94,86,96,80,93,70,53,75,44,80,34,26,83,87,61,78,16,24,22,
197445,D. Alaba,44500000,3,4,High,Medium,Left,82,63,75,83,68,78,85,80,83,86,86,79,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83,
165153,K. Benzema,44500000,4,4,Medium,Low,Right,75,84,78,86,79,79,73,55,86,77,78,77,83,60,83,70,73,78,77,65,22,87,85,82,79,13,15,12,
184344,L. Bonucci,44000000,2,3,Low,High,Right,44,39,88,79,58,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88,
168542,David Silva,44000000,4,2,High,Low,Left,83,71,54,91,79,82,75,79,90,72,65,92,84,89,71,66,78,56,73,51,43,81,92,73,92,25,44,29,
191043,Alex Sandro,44000000,3,3,High,High,Left,86,55,76,81,68,78,59,71,81,84,88,79,86,79,80,79,93,80,72,82,82,70,70,60,82,78,84,84,
180206,M. Pjanić,43500000,4,4,Medium,Medium,Right,80,61,60,89,72,86,91,85,89,74,74,79,84,79,78,61,78,65,82,68,74,70,88,79,84,62,70,66,
218667,Bernardo Silva,43500000,4,3,Medium,Medium,Left,79,76,51,84,66,79,63,78,89,85,78,88,84,86,72,53,80,54,64,58,49,77,85,64,84,46,44,35,
175943,D. Mertens,43000000,4,4,High,Low,Right,77,85,35,81,70,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40,
211117,D. Alli,43000000,4,3,High,Medium,Right,68,84,75,83,76,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57,
178518,R. Nainggolan,42500000,3,3,High,High,Right,73,76,59,84,75,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88,
200145,Casemiro,42000000,2,3,Medium,High,Right,52,59,74,82,53,59,74,84,78,63,61,66,83,57,86,87,85,85,77,87,86,66,76,66,86,83,87,86,
201399,M. Icardi,42000000,3,4,Medium,Low,Right,46,89,84,73,81,58,45,54,77,75,80,74,83,76,81,92,70,74,70,55,22,89,64,78,82,17,21,21,
231747,K. Mbappé,41500000,4,4,High,Medium,Right,70,87,76,78,74,75,58,68,87,89,90,78,79,76,79,71,83,74,68,62,49,79,77,70,80,41,44,40,
162895,Cesc Fàbregas,41000000,3,3,High,Medium,Right,85,76,74,91,81,77,81,90,86,65,62,65,81,77,77,68,80,64,75,45,50,78,91,80,92,60,63,62,
184087,T. Alderweireld,40500000,2,3,Medium,Medium,Right,64,45,82,77,38,63,69,81,70,62,69,60,86,50,86,81,76,82,66,81,84,56,67,60,81,89,90,85,
182493,D. Godín,40000000,2,3,Medium,High,Right,55,42,92,79,47,49,51,70,76,64,70,63,85,58,67,89,67,80,43,88,88,48,52,50,82,87,86,89,
231443,O. Dembélé,40000000,5,5,High,Low,Left,77,77,43,74,76,78,65,68,85,93,89,90,82,85,82,59,74,47,65,54,36,78,84,75,73,29,30,33,
202166,J. Draxler,39500000,4,5,Medium,Low,Right,83,78,65,84,84,78,75,77,87,76,79,81,83,75,86,76,68,67,81,48,36,79,84,63,81,25,35,26,
192883,H. Mkhitaryan,39000000,4,5,High,High,Right,79,77,53,84,81,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55,
208722,S. Mané,39000000,4,3,High,Medium,Right,72,83,53,77,68,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,
213565,T. Lemar,38500000,3,2,High,Medium,Left,82,78,54,82,75,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63,
138956,G. Chiellini,38000000,2,2,Low,High,Left,58,33,84,59,45,60,31,59,57,68,78,59,82,64,78,89,68,91,49,92,88,28,50,50,82,92,92,90,
167948,H. Lloris,38000000,1,1,Medium,Medium,Left,13,10,10,50,11,11,10,50,34,65,63,55,85,54,23,74,41,43,14,31,27,10,30,40,61,12,10,18,88
176676,Marcelo,38000000,4,4,High,Medium,Left,90,67,71,82,54,80,67,76,88,77,79,77,87,82,83,77,81,77,66,84,86,75,75,59,85,80,85,87,
181872,A. Vidal,37500000,3,4,High,High,Right,76,77,81,84,78,76,68,82,83,76,74,75,89,77,86,82,91,77,85,93,85,80,80,81,86,76,89,85,
152729,Piqué,37500000,2,3,High,Medium,Right,57,64,83,81,57,58,43,80,78,55,73,58,84,42,62,74,66,83,51,72,88,58,62,69,86,86,87,86,
184432,Azpilicueta,37500000,3,3,Medium,Medium,Right,78,46,76,80,51,66,58,74,79,78,79,75,86,73,68,76,88,73,60,80,85,62,68,66,78,87,88,87,
183898,A. Di María,37500000,5,2,High,Medium,Left,85,74,53,83,77,78,72,79,85,86,86,92,80,79,83,72,78,60,77,73,38,82,81,73,82,37,59,56,
208596,A. Belotti,37000000,3,5,High,High,Right,42,88,84,68,80,64,56,42,78,80,83,79,78,75,81,83,84,85,67,83,31,85,61,77,78,15,23,32,
9014,A. Robben,36000000,4,2,High,Low,Left,80,85,51,84,86,87,81,71,89,87,86,89,87,91,87,61,68,67,88,47,39,85,83,80,86,29,26,26,
189511,Sergio Busquets,36000000,3,3,Medium,Medium,Right,62,60,68,88,44,66,68,79,80,48,34,58,82,55,61,66,88,77,54,85,86,77,84,60,88,81,85,80,
177610,Javi Martínez,36000000,2,3,Medium,Medium,Right,60,53,90,75,61,54,45,74,71,49,50,54,84,58,76,83,64,84,63,91,86,57,74,52,83,84,87,87,
192448,M. ter Stegen,35500000,1,4,Medium,Medium,Right,15,14,11,30,14,18,12,38,18,38,50,37,82,43,22,79,35,79,10,43,22,11,57,25,62,10,13,10,85
225508,E. Bailly,35500000,2,3,Medium,High,Right,51,33,81,72,42,46,43,56,68,75,80,63,78,63,55,84,78,85,48,87,85,47,54,46,74,82,85,85,
212218,A. Laporte,35500000,2,2,Medium,Medium,Left,58,45,85,73,40,61,69,78,71,68,70,49,82,55,68,77,71,84,47,72,85,54,52,35,74,86,88,85,
189712,K. Strootman,35000000,3,3,High,High,Left,74,68,68,86,63,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75,
172879,Sokratis,34500000,2,3,Medium,High,Right,47,44,87,64,46,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86,
222492,L. Sané,34500000,3,3,High,Medium,Left,76,78,72,75,64,82,62,64,84,93,94,89,79,82,78,66,80,70,77,58,32,82,69,63,76,26,32,35,
164240,Thiago Silva,34000000,3,3,High,High,Right,60,38,82,79,63,61,67,81,80,70,74,74,84,68,74,93,74,81,71,77,89,59,74,71,83,90,89,88,
192563,B. Leno,34000000,1,4,Medium,Medium,Right,9,9,13,37,10,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85
220971,N. Keïta,34000000,4,3,High,Medium,Right,62,74,42,88,59,63,47,78,88,82,66,90,84,90,76,56,88,59,66,77,79,74,81,58,79,55,63,61,
212814,João Mário,34000000,3,4,Medium,High,Right,77,66,55,83,69,74,67,78,85,71,75,81,82,70,77,63,84,69,73,61,78,80,82,66,85,67,75,61,
209658,L. Goretzka,34000000,3,4,High,High,Right,75,72,75,84,68,76,75,79,82,85,85,76,84,72,77,67,86,68,78,84,82,79,82,60,81,74,79,78,
179944,David Luiz,33000000,3,3,Medium,Medium,Right,68,55,83,79,64,70,76,78,79,68,71,72,79,56,77,80,76,81,71,86,87,54,69,75,78,80,85,84,
173210,C. Marchisio,33000000,4,4,High,High,Right,76,61,68,87,76,78,78,85,85,78,78,81,86,79,82,68,81,70,82,78,80,80,84,78,84,72,78,80,
201942,Roberto Firmino,33000000,4,4,High,High,Right,72,83,72,83,79,80,67,75,85,77,77,82,82,81,79,81,86,76,80,66,37,84,83,72,78,30,59,42,
211300,A. Martial,33000000,4,3,Medium,Low,Right,74,81,70,75,74,81,54,58,84,92,89,85,81,82,84,80,79,76,70,59,42,80,72,81,79,35,39,36,
201024,K. Koulibaly,32500000,2,2,High,High,Right,30,19,79,59,14,28,28,48,59,69,76,50,80,40,55,77,73,93,15,87,86,24,34,33,78,85,87,85,
209331,M. Salah,32500000,4,2,High,Medium,Left,73,79,59,79,71,70,60,65,87,93,93,86,82,84,71,70,77,61,62,63,55,83,78,61,75,37,43,41,
215785,K. Baldé Diao,32500000,4,4,High,Low,Right,75,79,58,76,68,70,52,64,89,93,92,82,76,77,78,66,73,76,74,54,31,78,73,58,79,17,29,28,
204963,Carvajal,32000000,2,3,High,Medium,Right,83,41,65,81,34,72,47,71,83,76,86,82,81,79,64,76,84,75,36,81,82,61,57,45,74,85,85,86,
191740,Ander Herrera,32000000,3,4,High,High,Right,74,71,60,86,69,80,65,80,86,76,70,84,85,82,72,63,87,70,72,86,86,78,84,79,84,80,78,76,
208421,Saúl,32000000,3,4,Medium,High,Left,69,71,83,85,30,63,60,80,84,72,73,76,82,68,74,79,80,76,70,66,78,79,79,54,80,69,82,77,
192774,K. Manolas,31500000,2,2,Low,High,Right,27,10,80,60,16,30,10,61,65,78,81,68,81,60,43,86,78,84,12,86,85,25,22,26,75,88,86,87,
192227,S. Mustafi,31500000,2,3,Medium,High,Right,50,58,81,77,51,55,47,69,70,64,69,66,82,69,66,84,74,81,52,79,85,50,55,54,74,82,83,85,
181458,I. Perišić,31500000,4,5,High,Medium,Right,84,79,78,78,80,73,76,72,83,81,87,78,80,67,83,82,86,75,80,59,42,84,78,76,80,26,45,45,
180403,Willian,31500000,4,4,High,High,Right,77,77,29,82,59,82,85,77,86,91,86,89,83,81,71,46,87,62,81,44,55,80,83,70,79,43,58,51,
208448,E. Forsberg,31500000,3,4,High,Medium,Right,86,72,45,86,67,81,77,70,85,78,72,85,80,83,75,53,76,63,80,62,43,77,86,64,79,23,26,17,
200316,T. Horn,31000000,1,4,Medium,Medium,Left,19,13,14,35,14,12,15,32,22,45,51,50,81,31,22,64,31,67,17,41,22,15,55,21,20,11,13,12,84
143076,A. Gómez,31000000,4,4,High,Medium,Right,82,78,36,82,72,78,71,72,87,94,86,92,83,94,76,70,78,48,78,56,40,81,85,71,84,24,30,34,
202477,Deulofeu,31000000,4,4,High,Low,Right,76,70,40,79,68,84,78,62,87,93,93,93,78,79,72,72,78,59,65,40,25,78,74,78,76,20,30,22,
230666,Gabriel Jesus,31000000,4,4,High,High,Right,66,83,66,75,67,76,54,66,85,89,85,93,82,92,78,75,84,63,73,56,32,83,75,78,84,20,17,19,
189332,Jordi Alba,30500000,3,3,High,Medium,Left,82,73,63,79,60,77,64,70,83,93,93,90,82,86,64,81,90,60,66,75,83,77,68,59,75,81,84,83,
189505,Pedro,30500000,4,5,High,Medium,Right,78,81,55,83,70,81,57,70,87,84,80,84,84,82,71,67,78,56,78,56,49,84,77,66,78,30,32,31,
178088,Juan Mata,30500000,3,3,Medium,Medium,Left,84,79,59,86,71,84,84,77,87,71,63,85,84,89,75,72,77,43,70,52,39,83,87,81,85,25,28,21,
212190,N. Süle,30500000,2,3,Medium,Medium,Right,30,20,85,76,29,28,30,61,63,51,76,33,80,32,77,38,65,94,62,81,82,26,30,32,72,81,86,82,
207865,Marquinhos,30500000,2,3,Medium,Medium,Right,72,33,80,80,31,49,32,78,76,69,72,66,81,68,53,85,75,74,35,80,84,46,51,31,79,85,85,86,
204485,R. Mahrez,30500000,5,4,Medium,Medium,Left,81,74,45,78,71,79,75,74,88,85,80,92,75,85,76,62,75,51,72,40,38,79,79,72,82,25,23,19,
192387,C. Immobile,30500000,3,4,High,Medium,Right,55,86,75,70,86,70,51,49,80,81,85,77,85,63,86,77,77,74,76,77,40,86,62,78,81,31,33,32,
219683,C. Tolisso,30500000,3,3,High,Medium,Right,67,75,82,85,62,66,73,82,80,79,69,77,82,73,82,89,86,81,78,81,76,79,79,70,74,72,78,71,
212404,F. Bernardeschi,30500000,4,3,High,Medium,Left,77,73,48,80,70,79,80,70,87,84,84,85,80,79,80,49,83,63,82,52,34,80,78,72,83,28,36,32,
212188,T. Werner,30500000,3,4,High,Medium,Right,69,86,74,76,81,62,42,55,82,93,92,79,84,76,74,77,78,59,67,63,37,85,57,68,70,17,20,19,
190547,K. Glik,30000000,2,2,Low,Medium,Right,29,27,85,63,17,35,26,59,59,53,58,34,79,55,57,82,72,90,20,86,87,24,23,39,79,85,87,83,
211575,André Gomes,30000000,3,4,Medium,Medium,Right,61,68,69,84,63,82,68,83,80,71,66,67,79,64,80,58,78,85,73,81,76,77,83,55,78,65,77,64,
207410,M. Kovačić,30000000,4,4,High,High,Right,73,62,42,87,76,78,68,82,87,85,77,76,68,79,79,63,83,65,75,71,70,69,88,59,72,52,69,63,
41,Iniesta,29500000,4,4,High,Medium,Right,77,70,54,92,74,80,70,86,94,72,71,79,88,84,65,52,58,58,71,58,66,84,94,71,89,57,57,56,
209499,Fabinho,29500000,3,2,Medium,Medium,Right,79,66,75,82,30,71,45,74,80,73,75,71,79,69,75,77,89,80,53,83,83,68,72,91,80,79,88,85,
205600,S. Umtiti,29500000,2,3,Medium,High,Left,69,51,72,79,70,72,63,73,75,72,75,68,77,66,83,87,79,78,74,80,86,58,58,61,74,80,85,83,
202652,R. Sterling,29500000,4,3,High,Medium,Right,73,73,38,81,59,64,49,67,84,94,92,91,79,92,68,60,75,64,70,34,26,81,75,63,74,48,58,54,
202651,Suso,29500000,4,3,High,Medium,Left,81,70,50,83,72,84,80,75,89,84,80,86,78,86,78,50,77,50,82,23,20,76,82,72,76,19,23,18,
162835,S. Handanovič,29000000,1,2,Medium,Medium,Right,12,10,10,36,12,12,14,34,24,54,57,42,83,36,22,78,41,71,19,25,22,12,41,23,62,17,10,13,87
179846,S. Khedira,29000000,2,4,High,High,Right,72,69,76,85,76,68,68,81,81,60,68,59,86,52,82,68,78,89,78,82,86,80,82,69,84,76,82,78,
198176,S. de Vrij,29000000,2,4,Medium,High,Right,49,25,78,71,27,45,16,71,71,68,68,61,78,60,65,71,69,80,60,74,85,32,50,41,82,87,86,82,
216594,N. Fekir,29000000,4,3,Medium,Medium,Left,76,78,49,80,75,80,73,72,88,79,80,84,76,91,84,69,74,78,76,71,28,79,78,72,85,24,33,30,
195093,Willian José,29000000,3,4,Medium,Low,Right,54,84,84,79,80,68,71,48,80,65,68,60,81,50,83,72,67,87,76,65,35,85,63,80,73,29,32,30,
172871,J. Vertonghen,28500000,2,3,High,High,Left,68,56,81,79,52,58,73,74,74,68,66,62,82,55,86,83,79,81,68,83,86,60,68,68,81,84,86,86,
170890,B. Matuidi,28500000,2,2,High,High,Left,75,65,73,84,72,65,52,79,77,79,78,76,84,79,74,84,94,78,66,85,85,68,75,56,82,83,84,81,
216460,J. Giménez,28500000,2,3,Medium,High,Right,47,37,79,68,30,36,44,58,56,68,72,57,76,50,72,90,68,84,48,89,85,24,27,38,73,85,84,87,
230621,G. Donnarumma,28500000,1,3,Medium,Medium,Right,12,12,12,34,8,12,14,24,28,46,54,64,74,38,24,72,34,72,18,30,26,14,50,24,68,12,14,16,82
180930,E. Džeko,28000000,2,4,Medium,Medium,Right,63,87,84,77,77,65,54,72,80,67,61,57,83,36,86,66,70,82,73,51,50,89,70,67,79,11,28,16,
167397,Falcao,28000000,3,4,High,Medium,Right,55,87,90,78,84,83,71,58,82,73,66,85,84,75,79,92,68,75,80,75,41,87,68,84,87,16,42,19,
208808,Q. Promes,28000000,4,4,High,Low,Right,75,82,60,76,68,75,76,69,82,86,91,87,81,78,82,82,81,61,83,60,27,79,81,72,78,25,24,27,
204970,F. Thauvin,28000000,4,3,High,Low,Left,82,74,69,81,67,80,54,75,83,88,77,81,83,71,82,64,71,62,81,56,43,80,78,57,80,29,29,31,
200949,Lucas,28000000,4,3,Medium,Medium,Right,75,72,50,77,70,69,74,74,82,95,92,94,75,87,79,71,68,56,71,67,50,78,73,75,79,39,43,51,
200104,H. Son,28000000,4,5,High,High,Right,75,83,65,78,73,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23,
207566,William Carvalho,27500000,3,4,Medium,Medium,Right,66,56,73,84,50,77,50,86,78,52,53,45,74,50,59,68,84,88,58,75,84,62,78,60,89,77,85,71,
203376,V. van Dijk,27500000,2,3,High,Medium,Right,53,52,80,76,45,60,70,76,73,69,76,57,79,51,81,79,76,92,64,78,83,41,59,62,82,83,85,83,
200888,Danilo Pereira,27500000,2,3,Medium,High,Right,50,56,76,82,55,48,53,79,77,67,68,58,76,60,77,67,87,89,64,88,85,69,69,52,84,80,85,78,
206545,Manu Trigueros,27500000,4,4,Medium,Medium,Right,69,71,76,86,63,78,69,82,84,73,73,78,81,71,81,83,79,63,80,68,69,77,83,65,73,53,73,58,
203483,D. Klaassen,27500000,2,3,High,High,Right,63,82,74,83,82,62,44,75,81,73,73,67,84,64,78,74,92,74,78,76,68,84,78,75,80,59,74,62,
199503,G. Xhaka,27500000,3,2,Medium,Medium,Left,66,49,62,85,50,68,70,86,80,48,51,53,83,61,88,39,78,76,83,92,77,77,82,59,74,71,73,68,
41236,Z. Ibrahimović,27000000,4,4,Medium,Low,Right,76,87,80,84,90,82,82,76,88,63,67,81,86,41,91,69,71,88,85,84,20,86,83,91,91,15,41,27,
199715,Vitolo,27000000,3,4,High,High,Right,80,79,65,81,75,76,62,82,85,81,79,75,80,63,77,70,81,81,73,61,25,80,78,74,70,25,21,23,
189068,B. Dost,27000000,2,3,Medium,Medium,Right,38,87,93,74,85,62,32,37,73,54,64,38,85,35,83,55,84,89,74,72,39,88,68,81,78,29,48,26,
186547,M. Musacchio,27000000,2,3,Medium,Medium,Right,55,48,81,78,36,53,45,70,73,72,69,72,81,59,57,83,70,81,53,81,85,50,64,57,76,85,84,86,
181291,G. Wijnaldum,27000000,3,3,High,High,Right,67,74,72,83,73,76,70,74,84,79,82,82,82,80,78,82,87,71,71,64,70,82,78,74,79,60,69,64,
197061,J. Matip,26500000,2,2,Medium,Medium,Right,54,36,85,77,50,63,22,74,71,60,73,58,81,49,66,67,73,81,48,81,85,51,72,42,75,83,85,79,
189125,G. Bonaventura,26500000,3,3,High,Medium,Right,82,70,60,84,78,78,78,80,85,78,78,81,82,77,84,69,87,69,86,68,72,78,82,68,82,60,72,68,
193348,X. Shaqiri,26500000,4,4,High,Medium,Left,74,72,37,80,76,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79,65,79,40,41,48,
231677,M. Rashford,26500000,4,4,High,Medium,Right,75,79,68,74,72,74,78,65,80,93,92,90,78,78,82,63,83,73,70,67,42,81,73,74,74,29,37,33,
139720,V. Kompany,26000000,2,3,Medium,Medium,Right,61,45,84,72,46,61,52,66,68,61,64,60,84,42,75,71,74,88,55,87,80,41,59,63,81,84,85,84,
189117,R. Bürki,26000000,1,2,Medium,Medium,Right,15,8,17,37,13,13,12,24,23,44,52,51,80,52,22,74,36,74,14,35,18,10,50,20,58,14,13,16,84
210257,Ederson,26000000,1,2,Medium,Medium,Left,20,14,14,15,18,12,20,30,30,64,63,60,86,40,42,58,38,68,18,35,25,16,60,17,58,9,15,8,83
